,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2153,eco tour,bad,2010,MSC Poesia,Msc,0.0,1.0,1.0
2154,editors comment,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2155,effecient air conditioning,good,2013,MSC Magnifica,Msc,0.0,1.0,1.0
2156,effective holiday option,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
2157,efficient bathroom,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2158,efficient boarding processes,bad,2008,MSC Orchestra,Msc,0.0,1.0,1.0
2159,efficient check,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2160,efficient manner,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2161,efficient process,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2162,effort help,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2163,egg mayonnaise,bad,2012,MSC Armonia,Msc,1.0,0.0,1.0
2164,eggcup size portion,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2165,eggplant parmesan appetizer,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2166,egregious service event,good,2008,MSC Sinfonia,Msc,1.0,0.0,1.0
2167,elderly couple,bad,2013,MSC Musica,Msc,1.0,0.0,1.0
2168,elderly parents,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2169,elderly people,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2170,electric scooter,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2171,electric scooter,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2172,elegant classy ship,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2173,elegant cruise ship,good,2015,MSC Divina,Msc,0.0,1.0,1.0
2174,elegant dining rooms,good,2009,MSC Splendida,Msc,0.0,1.0,1.0
2175,elegant furniture,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2176,elegant italian decor,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2177,elegant lounges,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2178,elegant msc divina,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2179,elegant roomy,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2180,elegant ship,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2181,elegant ship,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2182,elegant touches,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2183,elegant villa rosa,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2184,elevated quality,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2185,elevated walkway,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2186,embarcation wa,good,2013,MSC Fantasia,Msc,1.0,0.0,1.0
2187,embarkation,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2188,embarkation,bad,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2189,embarkation,bad,2012,MSC Splendida,Msc,0.0,1.0,1.0
2190,embarkation,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2191,embarkation,good,2013,MSC Armonia,Msc,1.0,0.0,1.0
2192,embarkation procedure,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2193,embarkation procedures,good,2014,MSC Orchestra,Msc,1.0,0.0,1.0
2194,embarkation process,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2195,embarkation process,good,2012,MSC Magnifica,Msc,1.0,0.0,1.0
2196,embarkation process,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2197,embarrassing stannard,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2198,embrace new people,bad,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2199,emergency drill,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2200,emergency procedure,good,2013,MSC Orchestra,Msc,1.0,0.0,1.0
2201,end,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2202,endonly bad point,good,2010,MSC Magnifica,Msc,1.0,0.0,1.0
2203,energetic performances,bad,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2204,energy efficient feature,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2205,engaging group,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
2206,engine room,bad,2011,MSC Opera,Msc,1.0,0.0,1.0
2207,english,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
2208,english,good,2014,MSC Opera,Msc,0.0,1.0,1.0
