,Word,Rating,Year,Ship,Line,Negative,Positive,Total
1282,good variety,good,2009,MSC Orchestra,Msc,1.0,0.0,1.0
1283,good variety,good,2011,MSC Divina,Msc,0.0,1.0,1.0
1284,good variety,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1285,good variety,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
1286,good variety,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1287,good variety,good,2015,MSC Divina,Msc,0.0,1.0,1.0
1288,good way,bad,2008,MSC Musica,Msc,0.0,1.0,1.0
1289,good words,good,2013,MSC Divina,Msc,1.0,0.0,1.0
1290,good work,good,2014,MSC Opera,Msc,0.0,1.0,1.0
1291,goodi enjoyed fare,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1292,goofy games,bad,2009,MSC Lirica,Msc,0.0,1.0,1.0
1293,gopro video camera,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1294,gorgeous atrium,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
1295,gorgeous beaches,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1296,gorgeous dining room,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1297,gorgeous lighted wall,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1298,gorgeous s american,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
1299,gorgeous ships,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1300,gorgeous vessel,good,2012,MSC Divina,Msc,0.0,1.0,1.0
1301,gourmet italian cuisine,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1302,gourmet italian delicacies,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1303,gracious smiles,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1304,grand bazaar,good,2008,MSC Poesia,Msc,0.0,1.0,1.0
1305,grand buffet,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
1306,grand new ship,good,2013,MSC Divina,Msc,0.0,1.0,1.0
1307,grapefruit juice,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
1308,great acoustics,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1309,great ambassador,good,2014,MSC Fantasia,Msc,0.0,1.0,1.0
1310,great area,good,2013,MSC Poesia,Msc,0.0,1.0,1.0
1311,great arias,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1312,great artists,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
1313,great atmosphere,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
1314,great attention,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
1315,great attitude,bad,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1316,great balconies,bad,2013,MSC Divina,Msc,0.0,1.0,1.0
1317,great balcony,good,2009,MSC Opera,Msc,0.0,1.0,1.0
1318,great balcony cabin,bad,2012,MSC Splendida,Msc,0.0,1.0,1.0
1319,great balcony room,good,2014,MSC Divina,Msc,0.0,1.0,1.0
1320,great beach,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
1321,great bonus,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
