,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2604,complete waste,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2605,complete waste,bad,2014,MSC Musica,Msc,1.0,0.0,1.0
2606,complete waste,bad,2014,MSC Opera,Msc,1.0,0.0,1.0
2607,completly strange family,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2608,complimentary access,good,2012,MSC Fantasia,Msc,0.0,1.0,1.0
2609,complimentary back massage,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
2610,complimentary birthday cake,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
2611,complimentary breakfast,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2612,complimentary continental breakfast,bad,2008,MSC Orchestra,Msc,0.0,1.0,1.0
2613,complimentary coupons,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2614,complimentary drinks,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
2615,complimentary fresh fruit,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2616,complimentary ice coffee,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2617,complimentary room service,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2618,complimentary roomserviced breakfast,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
2619,complimentary tea,good,2009,MSC Fantasia,Msc,0.0,1.0,1.0
2620,complimentary water,good,2013,MSC Armonia,Msc,0.0,1.0,1.0
2621,comprehensive book,bad,2010,MSC Orchestra,Msc,0.0,1.0,1.0
2622,comprehensive book,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2623,comprehensive tour,good,2012,MSC Sinfonia,Msc,0.0,1.0,1.0
2624,compulsary lifeboat drill,bad,2009,MSC Musica,Msc,1.0,0.0,1.0
2625,conceivable dish,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
2626,concern,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2627,concern,bad,2012,MSC Splendida,Msc,1.0,0.0,1.0
2628,concert schedule,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2629,concierge desk,bad,2013,MSC Divina,Msc,1.0,0.0,1.0
2630,concierge desk,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2631,concierge lounge door,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2632,conclusions,good,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2633,concrete answers,good,2013,MSC Poesia,Msc,1.0,0.0,1.0
2634,condensed la traviata,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2635,conflicting information,good,2013,MSC Divina,Msc,1.0,0.0,1.0
2636,confusing detours,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2637,confusion,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2638,conga lines,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2639,cons,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2640,cons,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2641,considerable banging noises,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2642,consistent negative reviews,good,2011,MSC Magnifica,Msc,1.0,0.0,1.0
2643,consistently packed deck,bad,2009,MSC Lirica,Msc,0.0,1.0,1.0
2644,consistently rude service,bad,2011,MSC Musica,Msc,1.0,0.0,1.0
2645,constant beverage selling,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2646,constant blaring,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2647,constant loud announcements,bad,2011,MSC Orchestra,Msc,1.0,0.0,1.0
2648,constant merchandising,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2649,constant pa announcements,bad,2011,MSC Musica,Msc,1.0,0.0,1.0
2650,constant photographers,good,2013,MSC Fantasia,Msc,1.0,0.0,1.0
2651,constant selling,bad,2012,MSC Opera,Msc,1.0,0.0,1.0
2652,constant selling,bad,2014,MSC Fantasia,Msc,1.0,0.0,1.0
2653,constant smell,good,2012,MSC Splendida,Msc,1.0,0.0,1.0
2654,constant vibrations,good,2011,MSC Fantasia,Msc,1.0,0.0,1.0
2655,container ships,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2656,contemporary design,good,2010,MSC Splendida,Msc,0.0,1.0,1.0
2657,contemporary features,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2658,contempt,bad,2015,MSC Divina,Msc,1.0,0.0,1.0
2659,contemptuous attitude,bad,2008,MSC Lirica,Msc,1.0,0.0,1.0
2660,contentious issue,good,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2661,continental breakfast,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2662,continental breakfast,good,2013,MSC Preziosa,Msc,0.0,1.0,1.0
2663,continental breakfast,good,2013,MSC Splendida,Msc,0.0,1.0,1.0
2664,continental breakfast choices,good,2012,MSC Splendida,Msc,0.0,1.0,1.0
2665,continental europeans,good,2014,MSC Preziosa,Msc,0.0,1.0,1.0
2666,continental ship,good,2008,MSC Lirica,Msc,0.0,1.0,1.0
2667,continental style meal,good,2012,MSC Divina,Msc,0.0,1.0,1.0
2668,continued showing,good,2013,MSC Divina,Msc,1.0,0.0,1.0
2669,continuous verbal consensus,bad,2009,MSC Lirica,Msc,0.0,1.0,1.0
2670,contract,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2671,control,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2672,convenience,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2673,convenient shuttle service,bad,2014,MSC Magnifica,Msc,0.0,1.0,1.0
2674,convention,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2675,conversation,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2676,conversations,good,2012,MSC Poesia,Msc,1.0,0.0,1.0
2677,cookies,bad,2014,MSC Divina,Msc,1.0,0.0,1.0
2678,cooking marvelous meals,bad,2014,MSC Divina,Msc,0.0,1.0,1.0
2679,cool fountain,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2680,cool weather,good,2013,MSC Magnifica,Msc,0.0,1.0,1.0
2681,cool young people,good,2008,MSC Orchestra,Msc,0.0,1.0,1.0
2682,copious amounts,good,2014,MSC Sinfonia,Msc,1.0,0.0,1.0
2683,copious notes,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2684,corfu,good,2012,MSC Musica,Msc,0.0,1.0,1.0
2685,corner,bad,2010,MSC Magnifica,Msc,1.0,0.0,1.0
2686,corner suite,good,2014,MSC Lirica,Msc,0.0,1.0,1.0
2687,corners,bad,2014,MSC Poesia,Msc,1.0,0.0,1.0
2688,corporate behaviour,good,2014,MSC Orchestra,Msc,1.0,0.0,1.0
2689,corrective action,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
2690,corrective comments,good,2014,MSC Sinfonia,Msc,0.0,1.0,1.0
2691,corridors,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2692,cosmopolitan experience,good,2014,MSC Opera,Msc,0.0,1.0,1.0
2693,cost,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2694,cost conscientious passengers,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2695,cost effective way,good,2011,MSC Fantasia,Msc,0.0,1.0,1.0
2696,costa,good,2014,MSC Lirica,Msc,1.0,0.0,1.0
2697,costa cruise lines,bad,2012,MSC Musica,Msc,0.0,1.0,1.0
2698,costa fortuna,bad,2008,MSC Musica,Msc,0.0,1.0,1.0
2699,costa maya,good,2009,MSC Lirica,Msc,0.0,1.0,1.0
